storeName,image,description,storeHours,shopID
Eataly Boston,https://www.eataly.com/wp/wp-content/uploads/2016/12/eataly-boston.jpg,"Italian dining emporium with groceries, seafood markets & a dozen eateries.",9am-10PM,1
Savenor's Butcher & Market ,https://theculinarycellar.com/wp-content/uploads/2020/02/Butcher-store-front-768x576.jpg,"Butcher shop & grocery store specializing in high-end meats, cheeses, bread & produce since 1939.",11AM-7PM,2
Foodie's Market,https://fastly.4sqi.net/img/general/width960/Mbrk6ZV_OrhQwml2Dzr2vqZea0GV4nUPrRyhOW4io10.jpg,"Gourmet groceries & imported specialty foods, plus sandwiches, a salad bar & hot dishes to go.",8AM-8PM,3
Wollaston's Market - Marino Center,https://i0.wp.com/www.society19.com/wp-content/uploads/2017/01/Wollastons-Marino-Center.jpg,"Grocery store & deli counter, popular with the college set for late-night snacks & subs.",7AM-1AM,4
America's Food Basket - Codman Square,https://i0.wp.com/foodshubb.com/wp-content/uploads/2022/03/American-Food-Basket-of-Hyde-Park-Ave-MA.jpg,"We strive to be your go-to neighborhood supermarket, providing our customers and partners with a central point of service, value and experience.",7AM-9PM,5
The Daily Market,https://www.dotnews.com/files/styles/large_photo/public/photos/p1%20The%20Daily%20exterior%20REP%204-20.jpg,"We provide fresh fruits and vegetables, prepared take-away and specialty items, meats and deli, dairy, coffee, baked goods, and household supplies so you can pop in and out to get exactly what you need.",7AM-9PM,6
America's Food Basket - Hyde Park,https://i0.wp.com/foodshubb.com/wp-content/uploads/2022/03/American-Food-Basket-of-Hyde-Park-Ave-MA.jpg,"We strive to be your go-to neighborhood supermarket, providing our customers and partners with a central point of service, value and experience.",7AM-9PM,7
Happy Market & Spirits,https://www.jamaicaplainnews.com/wp-content/uploads/2017/11/IMG_6108.jpg,"We are a family owned grocery store. Our purpose is to provide the community with healthy food
choices. We have a variety in grocery, produce, meat, deli, dairy, frozen, takeout (coming soon). ",8AM-9PM,8
